f_max,n_eff
200024733003430.1,1.7990082718868585
199953656872233.47,1.7993915700786338
200024733003430.1,1.7994971742129298
199933349406177.3,1.8009177762598896
200014579270402.0,1.8003346254563695
199902888207093.03,1.7998432125643653
200055194202514.34,1.799227660279708
199933349406177.3,1.800746614286611
199953656872233.47,1.8002184484344306
199902888207093.03,1.799755160780802
200014579270402.0,1.8000383642285995
199913041940121.12,1.7992012877774919
200055194202514.34,1.7990572432192797
200014579270402.0,1.8009809747535805
199933349406177.3,1.7990879885230808
200055194202514.34,1.799826255543342
200014579270402.0,1.7997168983686185
199953656872233.47,1.7990894496664642
200034886736458.2,1.800653548289107
199963810605261.56,1.8007282562092262
200055194202514.34,1.7992763508684015
199953656872233.47,1.799499683889495
200014579270402.0,1.7997002376795297
200045040469486.25,1.7990039741717294
200055194202514.34,1.7990706971977346
199973964338289.66,1.7995448996784416
200014579270402.0,1.8000005572802829
200014579270402.0,1.7997777739633658
200085655401598.6,1.800385841192442
200014579270402.0,1.7998664173732608
200055194202514.34,1.7998871187792091
200055194202514.34,1.7995783179403884
200024733003430.1,1.8000253766822938
200045040469486.25,1.8007131432942178
200085655401598.6,1.8005997909395992
200055194202514.34,1.7992752830923338
199913041940121.12,1.7999900805594893
200055194202514.34,1.799924490941584
199913041940121.12,1.8007380552918089
200065347935542.44,1.7999341475149355
200055194202514.34,1.7991817459087904
200014579270402.0,1.800466842976189
200014579270402.0,1.7998555238457798
200014579270402.0,1.7999084962931389
200024733003430.1,1.7990148931066523
199902888207093.03,1.8001377158598757
200014579270402.0,1.7994276858939247
199913041940121.12,1.8005651662751099
200055194202514.34,1.799488838305903
200014579270402.0,1.8000812975427898
200055194202514.34,1.8003325949547144
199902888207093.03,1.7999295546045584
200055194202514.34,1.8004914800336098
200014579270402.0,1.8003094208241583
200014579270402.0,1.8002948961208503
200014579270402.0,1.8003828987350112
200055194202514.34,1.7990555347775712
200055194202514.34,1.7996932106452885
200014579270402.0,1.8003940058610703
200055194202514.34,1.7995245020265689
199902888207093.03,1.8005354449113595
200014579270402.0,1.8009004480896518
200014579270402.0,1.8000449857845195
200014579270402.0,1.8002291077588075
199973964338289.66,1.8004819333157325
200014579270402.0,1.7997000240809518
200055194202514.34,1.800328323850443
200065347935542.44,1.8009087640433359
199973964338289.66,1.800917121988592
199953656872233.47,1.799807786884084
200055194202514.34,1.8000000894871873
200055194202514.34,1.8006155556126935
200014579270402.0,1.7996818682018165
200065347935542.44,1.7991809765036146
200014579270402.0,1.800717394108254
200014579270402.0,1.8005715062794385
200065347935542.44,1.8001423532807528
200055194202514.34,1.7996778346699116
200014579270402.0,1.799457376096275
